Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Payment Method,Review Rating
3992,Backpack,101.0,12/13/2022,Credit Card,1 to 2
4105,Dress,164.0,10/20/2022,Credit Card,3 to 4
4119,Boots,21.0,4/3/2023,Cash,3 to 4
3957,Camisole,147.0,11/4/2022,Cash,4 to 5
3994,Loafers,,5/16/2023,Cash,3 to 4
3995,Bowtie,30.0,11/23/2022,Cash,4 to 5
4072,Poncho,170.0,10/15/2022,Credit Card,3 to 4
4093,Trousers,102.0,5/25/2023,Cash,2 to 3
4031,Blouse,190.0,1/14/2023,Cash,2 to 3
4056,Sneakers,,11/2/2022,Credit Card,No Rating
4114,Leggings,84.0,6/15/2023,Cash,3 to 4
4104,Backpack,69.0,5/27/2023,Cash,2 to 3
4071,Tunic,107.0,12/3/2022,Cash,1 to 2
4007,Dress,172.0,4/5/2023,Cash,1 to 2
4009,Flannel Shirt,51.0,4/16/2023,Cash,1 to 2
4038,Tie,63.0,2/13/2023,Cash,4 to 5
4033,Backpack,189.0,8/31/2023,Cash,4 to 5
4102,Cardigan,175.0,6/5/2023,Credit Card,3 to 4
4034,Tunic,,7/1/2023,Credit Card,1 to 2
4068,Jeans,146.0,8/26/2023,Cash,1 to 2
4045,Gloves,51.0,1/27/2023,Credit Card,2 to 3
3979,Camisole,79.0,6/5/2023,Cash,1 to 2
4106,Trousers,173.0,9/7/2023,Credit Card,3 to 4
3959,Trousers,66.0,11/2/2022,Cash,4 to 5
4113,Boots,24.0,1/20/2023,Credit Card,1 to 2
4087,Scarf,18.0,11/21/2022,Credit Card,1 to 2
4060,Polo Shirt,112.0,6/8/2023,Cash,1 to 2
3989,Sweater,64.0,3/13/2023,Credit Card,3 to 4
4032,Wallet,155.0,3/8/2023,Credit Card,1 to 2
3972,Boots,90.0,1/26/2023,Credit Card,4 to 5
4051,Umbrella,137.0,6/30/2023,Cash,4 to 5
4097,Tank Top,174.0,10/10/2022,Cash,3 to 4
3970,Camisole,77.0,1/5/2023,Cash,2 to 3
3957,Gloves,,5/16/2023,Cash,2 to 3
4100,Loafers,147.0,3/2/2023,Credit Card,3 to 4
4048,Pajamas,159.0,11/8/2022,Credit Card,1 to 2
3985,Flannel Shirt,159.0,3/5/2023,Cash,2 to 3
4029,Leggings,66.0,6/16/2023,Cash,3 to 4
3964,Hat,45.0,3/17/2023,Cash,4 to 5
4017,Bowtie,33.0,9/28/2023,Credit Card,3 to 4
4067,Handbag,38.0,5/25/2023,Cash,3 to 4
4108,T-shirt,,9/10/2023,Credit Card,2 to 3
4057,Jacket,,1/2/2023,Cash,4 to 5
4117,Kimono,162.0,4/16/2023,Cash,1 to 2
4038,Jacket,,10/27/2022,Credit Card,4 to 5
4054,Socks,129.0,12/23/2022,Cash,No Rating
4060,Sweater,151.0,7/17/2023,Cash,3 to 4
4054,Handbag,12.0,12/29/2022,Credit Card,2 to 3
4068,Pants,39.0,3/21/2023,Credit Card,2 to 3
4096,Scarf,147.0,2/11/2023,Credit Card,4 to 5
4011,Blouse,174.0,4/21/2023,Cash,3 to 4
4001,Hoodie,85.0,9/17/2023,Cash,3 to 4
4078,Hat,126.0,6/29/2023,Credit Card,2 to 3
3992,Slippers,,4/26/2023,Cash,2 to 3
4005,Sun Hat,194.0,12/16/2022,Credit Card,2 to 3
4099,Scarf,138.0,5/20/2023,Credit Card,2 to 3
4055,Boots,139.0,1/5/2023,Credit Card,1 to 2
4049,Trench Coat,170.0,7/13/2023,Cash,No Rating
4063,Hoodie,173.0,6/23/2023,Credit Card,2 to 3
3996,Belt,60.0,3/4/2023,Credit Card,2 to 3
4030,Camisole,,10/25/2022,Credit Card,No Rating
3989,Overalls,148.0,5/19/2023,Credit Card,4 to 5
3991,Blazer,145.0,5/3/2023,Credit Card,4 to 5
3959,Coat,163.0,5/9/2023,Credit Card,3 to 4
3975,Camisole,14.0,2/7/2023,Cash,3 to 4
4122,Socks,,12/10/2022,Credit Card,No Rating
3961,Boots,88.0,10/7/2022,Cash,1 to 2
3993,Belt,71.0,5/18/2023,Credit Card,4 to 5
4081,Hat,30.0,9/1/2023,Credit Card,1 to 2
4068,Loafers,,4/13/2023,Credit Card,1 to 2
3991,Boots,27.0,9/16/2023,Credit Card,1 to 2
3978,Blazer,146.0,1/15/2023,Credit Card,3 to 4
3992,Cardigan,42.0,12/14/2022,Credit Card,2 to 3
4121,Sunglasses,150.0,6/3/2023,Credit Card,3 to 4
4063,Bowtie,,11/5/2022,Credit Card,1 to 2
4073,Handbag,165.0,9/28/2023,Credit Card,2 to 3
4111,Socks,64.0,1/15/2023,Credit Card,2 to 3
4065,Sneakers,196.0,3/24/2023,Credit Card,4 to 5
4116,Onesie,192.0,1/16/2023,Credit Card,3 to 4
4003,Hoodie,181.0,7/9/2023,Credit Card,1 to 2
4073,Swimsuit,122.0,4/25/2023,Credit Card,4 to 5
4087,Vest,125.0,6/2/2023,Credit Card,2 to 3
4065,Pajamas,,5/3/2023,Credit Card,2 to 3
4098,Coat,96.0,9/21/2023,Credit Card,3 to 4
4072,Onesie,,12/11/2022,Cash,1 to 2
4055,Bowtie,160.0,4/3/2023,Cash,4 to 5
4047,Belt,28.0,8/7/2023,Cash,No Rating
4014,Trench Coat,25.0,12/5/2022,Cash,4 to 5
4004,Flip-Flops,18.0,1/21/2023,Credit Card,4 to 5
4065,Poncho,28.0,6/29/2023,Credit Card,3 to 4
4111,Belt,81.0,5/10/2023,Credit Card,1 to 2
3958,Tunic,64.0,6/17/2023,Cash,1 to 2
4104,Pants,195.0,6/2/2023,Cash,2 to 3
4084,Onesie,156.0,8/8/2023,Credit Card,1 to 2
4017,Jeans,72.0,10/28/2022,Credit Card,No Rating
4085,Tunic,114.0,4/28/2023,Credit Card,1 to 2
4025,Pajamas,,9/10/2023,Cash,3 to 4
4062,Belt,,9/22/2023,Credit Card,2 to 3
4096,Hoodie,118.0,10/17/2022,Cash,4 to 5
4104,Tunic,196.0,2/13/2023,Cash,1 to 2
4050,Blazer,,6/23/2023,Credit Card,3 to 4
3965,Loafers,175.0,6/26/2023,Cash,2 to 3
3966,Polo Shirt,,4/21/2023,Credit Card,2 to 3
4102,Pants,96.0,7/31/2023,Credit Card,1 to 2
4080,Sun Hat,37.0,9/14/2023,Cash,2 to 3
4051,Camisole,58.0,1/29/2023,Cash,3 to 4
3985,Hat,45.0,12/31/2022,Credit Card,1 to 2
4105,Sandals,81.0,10/31/2022,Credit Card,4 to 5
4080,Pajamas,29.0,9/22/2023,Credit Card,2 to 3
3977,Overalls,150.0,3/22/2023,Cash,4 to 5
3993,Blazer,,4/9/2023,Cash,3 to 4
4091,Overalls,148.0,1/30/2023,Cash,2 to 3
4028,Cardigan,33.0,2/11/2023,Credit Card,4 to 5
4076,Pajamas,70.0,10/5/2022,Credit Card,3 to 4
4089,Sun Hat,,3/28/2023,Cash,2 to 3
3977,Loafers,64.0,10/15/2022,Cash,1 to 2
4090,Onesie,25.0,9/18/2023,Cash,2 to 3
4113,Jacket,,6/27/2023,Cash,1 to 2
3979,Trousers,,8/7/2023,Credit Card,4 to 5
4019,Blouse,126.0,12/15/2022,Credit Card,3 to 4
4077,Romper,188.0,6/1/2023,Credit Card,4 to 5
4118,Onesie,152.0,1/12/2023,Credit Card,1 to 2
3976,Socks,134.0,7/24/2023,Credit Card,2 to 3
4119,Pants,,5/4/2023,Cash,4 to 5
4095,Socks,24.0,11/13/2022,Cash,1 to 2
4105,T-shirt,148.0,3/18/2023,Credit Card,No Rating
4036,T-shirt,,8/3/2023,Credit Card,3 to 4
4113,Trench Coat,22.0,5/20/2023,Cash,1 to 2
3970,Camisole,138.0,5/9/2023,Cash,4 to 5
4044,Camisole,145.0,2/10/2023,Cash,2 to 3
4093,Swimsuit,,10/6/2022,Cash,3 to 4
3959,Kimono,30.0,3/11/2023,Cash,1 to 2
4077,Vest,27.0,1/8/2023,Credit Card,4 to 5
4073,Tie,182.0,9/16/2023,Cash,3 to 4
4088,Vest,113.0,9/2/2023,Credit Card,1 to 2
4077,Poncho,,3/15/2023,Credit Card,2 to 3
4103,Swimsuit,73.0,4/30/2023,Cash,2 to 3
4041,Pajamas,20.0,5/20/2023,Cash,4 to 5
4064,Kimono,117.0,10/31/2022,Cash,2 to 3
4047,Blazer,154.0,6/1/2023,Cash,1 to 2
4032,Backpack,76.0,6/15/2023,Cash,4 to 5
4031,Slippers,193.0,8/2/2023,Credit Card,1 to 2
3999,Jacket,77.0,5/27/2023,Credit Card,3 to 4
3966,Tie,181.0,6/14/2023,Credit Card,3 to 4
4109,Dress,127.0,9/30/2023,Cash,2 to 3
4034,Shorts,28.0,3/24/2023,Cash,3 to 4
4101,Pajamas,,3/27/2023,Cash,1 to 2
4023,Sunglasses,154.0,2/9/2023,Credit Card,2 to 3
3972,Coat,28.0,12/22/2022,Credit Card,4 to 5
4118,Socks,139.0,5/13/2023,Credit Card,4 to 5
4078,Tunic,99.0,11/10/2022,Cash,2 to 3
4105,Belt,72.0,7/29/2023,Credit Card,1 to 2
4000,Sandals,50.0,9/27/2023,Cash,4 to 5
4103,Jumpsuit,149.0,10/16/2022,Cash,4 to 5
3970,Tunic,166.0,2/2/2023,Credit Card,3 to 4
4031,Camisole,177.0,6/28/2023,Cash,3 to 4
4116,Raincoat,180.0,2/11/2023,Cash,No Rating
3963,Trench Coat,86.0,12/16/2022,Cash,1 to 2
4030,Romper,36.0,1/2/2023,Credit Card,2 to 3
4081,Kimono,44.0,6/3/2023,Credit Card,2 to 3
3978,Handbag,37.0,1/17/2023,Cash,4 to 5
3989,Tank Top,49.0,4/26/2023,Credit Card,4 to 5
4086,Swimsuit,164.0,12/7/2022,Cash,1 to 2
3976,Tank Top,97.0,5/23/2023,Cash,4 to 5
4028,Sweater,172.0,1/15/2023,Credit Card,1 to 2
4021,Backpack,139.0,1/2/2023,Cash,4 to 5
3990,Pajamas,23.0,11/1/2022,Credit Card,4 to 5
4114,Belt,,9/28/2023,Cash,No Rating
4028,Poncho,80.0,12/31/2022,Cash,1 to 2
4027,Boots,,12/30/2022,Credit Card,4 to 5
4022,Boots,43.0,8/27/2023,Cash,3 to 4
3960,Onesie,77.0,12/16/2022,Cash,4 to 5
3985,Dress,,6/5/2023,Credit Card,1 to 2
4111,Swimsuit,190.0,11/23/2022,Credit Card,4 to 5
4001,Handbag,12.0,11/25/2022,Cash,2 to 3
4108,Romper,,11/9/2022,Credit Card,4 to 5
3995,Umbrella,186.0,5/27/2023,Cash,3 to 4
4071,Jeans,149.0,4/9/2023,Cash,2 to 3
4051,Tank Top,,8/31/2023,Credit Card,No Rating
4001,Wallet,151.0,6/9/2023,Cash,3 to 4
4023,Backpack,,5/8/2023,Credit Card,2 to 3
4017,Pants,,8/8/2023,Cash,3 to 4
4081,Sandals,20.0,12/2/2022,Cash,4 to 5
4003,Loafers,63.0,6/10/2023,Credit Card,2 to 3
4092,Overalls,180.0,11/25/2022,Cash,2 to 3
3965,Umbrella,,5/6/2023,Cash,4 to 5
4044,Pants,114.0,12/25/2022,Credit Card,4 to 5
3978,Sandals,49.0,10/31/2022,Cash,4 to 5
3994,Boots,70.0,3/1/2023,Cash,No Rating
4109,Loafers,55.0,12/21/2022,Credit Card,0 to 1
3996,Slippers,16.0,8/13/2023,Credit Card,2 to 3
4083,Wallet,,7/7/2023,Credit Card,3 to 4
4062,Coat,115.0,4/10/2023,Credit Card,1 to 2
4055,T-shirt,198.0,11/29/2022,Credit Card,3 to 4
4017,Shorts,78.0,2/26/2023,Credit Card,1 to 2
4069,Jumpsuit,,2/16/2023,Cash,4 to 5
4120,Hoodie,107.0,7/11/2023,Cash,3 to 4
3999,Backpack,130.0,4/26/2023,Cash,No Rating
4010,Romper,127.0,7/24/2023,Credit Card,No Rating
4104,Pajamas,68.0,7/12/2023,Cash,1 to 2
4045,Vest,178.0,1/29/2023,Credit Card,2 to 3
3970,Romper,,10/18/2022,Cash,2 to 3
4121,Slippers,27.0,4/11/2023,Credit Card,3 to 4
4024,Hoodie,81.0,12/30/2022,Credit Card,3 to 4
3986,Flannel Shirt,140.0,11/24/2022,Cash,2 to 3
3970,Socks,147.0,5/7/2023,Credit Card,2 to 3
3999,Belt,17.0,7/25/2023,Credit Card,4 to 5
4075,Coat,,10/6/2022,Cash,2 to 3
4059,Belt,55.0,1/16/2023,Cash,1 to 2
4078,Sandals,77.0,7/28/2023,Cash,4 to 5
4034,Tank Top,,1/1/2023,Cash,2 to 3
4078,Blazer,98.0,1/5/2023,Credit Card,2 to 3
4093,Trench Coat,90.0,10/17/2022,Cash,1 to 2
4016,Polo Shirt,140.0,1/2/2023,Cash,2 to 3
4054,Wallet,,5/1/2023,Cash,3 to 4
4056,Pajamas,58.0,7/20/2023,Cash,4 to 5
4078,Slippers,191.0,7/10/2023,Credit Card,4 to 5
4024,Blazer,143.0,10/9/2022,Credit Card,2 to 3
3994,Camisole,147.0,11/19/2022,Cash,2 to 3
4092,Tie,199.0,2/15/2023,Cash,4 to 5
4068,Tunic,60.0,1/4/2023,Cash,1 to 2
3960,Camisole,27.0,9/14/2023,Credit Card,1 to 2
4030,Hoodie,94.0,4/23/2023,Credit Card,2 to 3
4071,Skirt,179.0,2/16/2023,Credit Card,2 to 3
4054,Handbag,194.0,6/12/2023,Credit Card,2 to 3
4037,Sunglasses,139.0,11/10/2022,Cash,2 to 3
4092,Jumpsuit,114.0,11/2/2022,Credit Card,2 to 3
3967,Raincoat,188.0,5/6/2023,Cash,3 to 4
3981,Pants,42.0,7/8/2023,Credit Card,1 to 2
4093,Sneakers,,10/14/2022,Cash,4 to 5
4120,Poncho,107.0,11/7/2022,Cash,2 to 3
4047,Scarf,54.0,5/20/2023,Credit Card,1 to 2
4067,Poncho,87.0,5/27/2023,Credit Card,4 to 5
4113,Vest,10.0,10/11/2022,Credit Card,No Rating
4026,Tank Top,63.0,1/20/2023,Cash,4 to 5
4042,Blazer,158.0,11/12/2022,Cash,3 to 4
4026,T-shirt,92.0,4/24/2023,Credit Card,3 to 4
4025,Coat,123.0,1/9/2023,Cash,1 to 2
3982,Kimono,140.0,5/18/2023,Credit Card,3 to 4
4022,T-shirt,198.0,10/22/2022,Cash,1 to 2
4106,Skirt,,3/26/2023,Cash,4 to 5
4057,Jacket,,9/17/2023,Cash,1 to 2
4075,Jumpsuit,172.0,10/7/2022,Credit Card,4 to 5
4018,Tank Top,33.0,10/18/2022,Credit Card,No Rating
4107,Tie,70.0,2/28/2023,Cash,No Rating
4006,Flannel Shirt,67.0,7/27/2023,Cash,1 to 2
4090,Tie,47.0,1/11/2023,Cash,2 to 3
4043,Backpack,,1/16/2023,Cash,2 to 3
4003,Cardigan,131.0,1/4/2023,Credit Card,4 to 5
4037,Camisole,28.0,5/1/2023,Cash,2 to 3
4097,Belt,171.0,5/24/2023,Cash,4 to 5
3959,Coat,193.0,1/3/2023,Credit Card,1 to 2
3959,Hat,136.0,2/8/2023,Credit Card,2 to 3
3974,Swimsuit,47.0,2/22/2023,Credit Card,No Rating
3960,Hat,11.0,4/12/2023,Credit Card,No Rating
4062,Romper,37.0,7/24/2023,Cash,3 to 4
3982,Blouse,66.0,1/24/2023,Cash,1 to 2
4091,Socks,,11/28/2022,Credit Card,3 to 4
3983,Kimono,142.0,5/15/2023,Credit Card,3 to 4
4071,Hat,152.0,12/22/2022,Credit Card,1 to 2
4046,Trench Coat,41.0,7/17/2023,Credit Card,2 to 3
4013,Shorts,128.0,2/21/2023,Cash,2 to 3
4029,Bowtie,153.0,5/17/2023,Credit Card,No Rating
4021,Sunglasses,123.0,5/11/2023,Cash,1 to 2
4006,Scarf,194.0,2/2/2023,Cash,3 to 4
3965,Hat,119.0,7/13/2023,Cash,2 to 3
3963,Socks,150.0,10/4/2022,Credit Card,No Rating
4115,Sweater,50.0,7/5/2023,Cash,3 to 4
3980,Poncho,131.0,1/23/2023,Credit Card,4 to 5
3971,Hat,73.0,7/17/2023,Credit Card,1 to 2
4109,Tunic,80.0,10/18/2022,Credit Card,No Rating
4012,Socks,143.0,4/23/2023,Cash,2 to 3
4110,Sandals,71.0,3/17/2023,Cash,3 to 4
4120,Tie,29.0,2/12/2023,Credit Card,1 to 2
3988,Bowtie,70.0,11/2/2022,Credit Card,2 to 3
3987,Handbag,91.0,12/21/2022,Cash,2 to 3
3979,Flip-Flops,30.0,3/30/2023,Cash,3 to 4
4111,Skirt,,8/13/2023,Credit Card,4 to 5
3990,Handbag,187.0,8/11/2023,Credit Card,1 to 2
4053,Coat,,7/10/2023,Credit Card,4 to 5
4122,Hoodie,116.0,3/17/2023,Cash,1 to 2
4101,Cardigan,148.0,11/26/2022,Credit Card,3 to 4
4004,Hoodie,25.0,9/24/2023,Credit Card,3 to 4
3985,Pajamas,117.0,8/7/2023,Cash,1 to 2
4004,Shorts,159.0,1/22/2023,Cash,1 to 2
4021,Sneakers,15.0,8/7/2023,Credit Card,2 to 3
4032,Jacket,157.0,1/25/2023,Credit Card,2 to 3
4076,Trousers,11.0,12/6/2022,Credit Card,2 to 3
3976,Jeans,86.0,5/26/2023,Cash,No Rating
4120,Slippers,117.0,9/25/2023,Credit Card,3 to 4
4073,Boots,198.0,12/21/2022,Cash,3 to 4
4027,Onesie,164.0,6/11/2023,Cash,3 to 4
4066,Kimono,134.0,1/2/2023,Credit Card,3 to 4
4039,Umbrella,121.0,7/5/2023,Cash,4 to 5
4022,Tunic,109.0,11/15/2022,Credit Card,1 to 2
3998,Skirt,183.0,12/22/2022,Credit Card,3 to 4
3975,T-shirt,195.0,7/22/2023,Cash,3 to 4
4027,Sweater,,12/1/2022,Credit Card,3 to 4
3972,Sneakers,42.0,4/18/2023,Credit Card,2 to 3
4054,Tunic,146.0,1/23/2023,Credit Card,1 to 2
4056,T-shirt,,3/29/2023,Cash,1 to 2
4042,Wallet,154.0,8/31/2023,Credit Card,2 to 3
3972,Slippers,31.0,10/26/2022,Credit Card,3 to 4
4023,Dress,44.0,3/3/2023,Cash,2 to 3
4024,Skirt,56.0,7/17/2023,Credit Card,2 to 3
4002,Scarf,,5/9/2023,Credit Card,3 to 4
4069,Flannel Shirt,64.0,11/1/2022,Cash,3 to 4
3974,T-shirt,96.0,12/5/2022,Credit Card,3 to 4
4082,Pajamas,107.0,5/10/2023,Cash,3 to 4
4008,Loafers,117.0,5/4/2023,Credit Card,3 to 4
4113,Flannel Shirt,30.0,5/21/2023,Credit Card,3 to 4
4057,Tunic,148.0,4/22/2023,Cash,2 to 3
4002,Sneakers,,8/28/2023,Credit Card,4 to 5
4122,Kimono,67.0,3/20/2023,Cash,4 to 5
4082,Onesie,176.0,12/28/2022,Credit Card,3 to 4
3984,Tunic,,5/22/2023,Credit Card,0 to 1
3993,Trousers,,12/26/2022,Credit Card,1 to 2
4095,Loafers,15.0,7/12/2023,Credit Card,No Rating
4067,Belt,71.0,8/27/2023,Credit Card,2 to 3
4012,Trousers,,3/6/2023,Cash,3 to 4
4114,Swimsuit,154.0,4/2/2023,Credit Card,2 to 3
4121,Umbrella,129.0,1/15/2023,Cash,No Rating
3984,Trousers,104.0,7/30/2023,Cash,1 to 2
4070,Leggings,,6/9/2023,Credit Card,3 to 4
4023,Boots,193.0,2/14/2023,Credit Card,3 to 4
3983,Swimsuit,,8/17/2023,Cash,2 to 3
3965,Wallet,89.0,8/18/2023,Cash,4 to 5
3975,Vest,,7/29/2023,Credit Card,2 to 3
3975,Pajamas,,4/11/2023,Cash,2 to 3
4103,Flip-Flops,183.0,10/13/2022,Cash,3 to 4
4021,Sweater,106.0,5/21/2023,Cash,1 to 2
4071,Raincoat,193.0,10/2/2022,Credit Card,3 to 4
3961,Trousers,,6/17/2023,Credit Card,2 to 3
4084,Skirt,170.0,7/8/2023,Cash,4 to 5
3995,T-shirt,188.0,5/12/2023,Cash,4 to 5
4120,Overalls,185.0,3/5/2023,Credit Card,4 to 5
3957,Tank Top,40.0,10/3/2022,Cash,2 to 3
3966,Vest,154.0,5/4/2023,Cash,4 to 5
4056,Camisole,98.0,6/12/2023,Credit Card,2 to 3
4025,Blouse,179.0,4/6/2023,Cash,4 to 5
3995,Jeans,139.0,5/1/2023,Cash,1 to 2
4041,Loafers,13.0,10/13/2022,Cash,1 to 2
4057,Shorts,135.0,12/27/2022,Credit Card,4 to 5
4104,Flannel Shirt,,10/24/2022,Cash,4 to 5
3957,Sneakers,172.0,7/8/2023,Credit Card,No Rating
4088,Tank Top,127.0,10/7/2022,Credit Card,2 to 3
4082,Tunic,121.0,9/7/2023,Cash,2 to 3
4079,Boots,,11/23/2022,Credit Card,1 to 2
4068,Swimsuit,176.0,7/18/2023,Cash,2 to 3
4060,Bowtie,147.0,12/28/2022,Credit Card,2 to 3
3974,Flip-Flops,129.0,8/2/2023,Credit Card,3 to 4
4095,Umbrella,197.0,10/25/2022,Credit Card,4 to 5
4014,Wallet,92.0,12/25/2022,Credit Card,4 to 5
3957,Onesie,32.0,1/5/2023,Cash,4 to 5
4055,Trench Coat,125.0,11/10/2022,Cash,4 to 5
4080,Tie,128.0,4/10/2023,Credit Card,2 to 3
3988,Wallet,181.0,3/4/2023,Credit Card,3 to 4
4102,Socks,17.0,1/31/2023,Cash,2 to 3
4094,T-shirt,93.0,8/15/2023,Cash,1 to 2
4048,Handbag,,10/18/2022,Credit Card,2 to 3
4042,Leggings,76.0,2/22/2023,Credit Card,3 to 4
4034,Jeans,162.0,2/11/2023,Credit Card,3 to 4
4059,Handbag,80.0,7/6/2023,Cash,4 to 5
3971,Swimsuit,142.0,7/22/2023,Cash,1 to 2
4118,Dress,31.0,10/19/2022,Credit Card,0 to 1
4122,Poncho,114.0,7/28/2023,Cash,3 to 4
3980,Leggings,71.0,1/25/2023,Cash,No Rating
4050,Umbrella,175.0,12/29/2022,Cash,1 to 2
4093,Bowtie,124.0,12/21/2022,Credit Card,1 to 2
4044,Gloves,33.0,3/29/2023,Cash,3 to 4
3977,Loafers,113.0,1/8/2023,Credit Card,No Rating
4074,Kimono,88.0,2/5/2023,Cash,2 to 3
4031,Vest,104.0,1/15/2023,Credit Card,No Rating
4122,Poncho,145.0,12/29/2022,Cash,1 to 2
4008,Flip-Flops,200.0,10/5/2022,Cash,4 to 5
4002,Hoodie,100.0,12/26/2022,Cash,4 to 5
4098,Raincoat,79.0,2/4/2023,Credit Card,4 to 5
3967,Belt,69.0,4/3/2023,Cash,2 to 3
4055,Onesie,,11/5/2022,Cash,4 to 5
4005,Wallet,,10/22/2022,Credit Card,4 to 5
4033,Tank Top,,12/19/2022,Credit Card,No Rating
4056,Skirt,186.0,4/11/2023,Cash,No Rating
3984,Camisole,,8/31/2023,Cash,1 to 2
4118,Pajamas,133.0,3/20/2023,Credit Card,4 to 5
4048,Cardigan,160.0,3/27/2023,Cash,2 to 3
4081,Loafers,144.0,11/1/2022,Credit Card,1 to 2
3978,Socks,35.0,11/29/2022,Cash,1 to 2
4118,Romper,85.0,8/14/2023,Credit Card,No Rating
4069,Pants,55.0,1/25/2023,Cash,4 to 5
4005,Flannel Shirt,191.0,3/23/2023,Cash,3 to 4
3992,Sunglasses,80.0,2/24/2023,Cash,No Rating
3966,Romper,,3/19/2023,Credit Card,4 to 5
4006,Trench Coat,,9/16/2023,Credit Card,3 to 4
3963,Dress,42.0,10/19/2022,Cash,3 to 4
4108,Blouse,135.0,1/25/2023,Cash,3 to 4
4018,Kimono,,4/27/2023,Credit Card,2 to 3
4082,Hoodie,,7/26/2023,Cash,3 to 4
4056,Blazer,132.0,6/17/2023,Cash,No Rating
3973,Umbrella,57.0,7/12/2023,Cash,2 to 3
4095,Sun Hat,74.0,7/15/2023,Credit Card,1 to 2
4121,Overalls,132.0,2/24/2023,Cash,2 to 3
4035,Coat,,9/22/2023,Cash,2 to 3
4084,Bowtie,,1/16/2023,Cash,3 to 4
4093,Shorts,157.0,8/17/2023,Cash,0 to 1
4072,Onesie,23.0,1/9/2023,Cash,2 to 3
3961,Wallet,,2/4/2023,Credit Card,3 to 4
3966,Polo Shirt,87.0,1/8/2023,Cash,3 to 4
4043,Boots,,12/24/2022,Cash,1 to 2
3971,Boots,152.0,3/1/2023,Credit Card,No Rating
4043,Scarf,165.0,2/5/2023,Credit Card,1 to 2
3967,Coat,168.0,4/21/2023,Credit Card,4 to 5
4060,Tunic,143.0,12/24/2022,Credit Card,4 to 5
3987,Wallet,123.0,8/1/2023,Credit Card,2 to 3
4011,Tank Top,160.0,5/8/2023,Cash,No Rating
4090,Hoodie,88.0,12/8/2022,Cash,1 to 2
4074,Skirt,25.0,10/5/2022,Credit Card,3 to 4
4094,Belt,199.0,7/4/2023,Credit Card,1 to 2
3995,Romper,,10/15/2022,Cash,1 to 2
4105,Jeans,170.0,3/28/2023,Cash,No Rating
4016,Coat,179.0,7/17/2023,Credit Card,1 to 2
3975,Leggings,,7/4/2023,Credit Card,2 to 3
3966,Pajamas,151.0,8/28/2023,Credit Card,1 to 2
3993,Jumpsuit,,1/28/2023,Credit Card,1 to 2
4082,Sneakers,,12/3/2022,Credit Card,3 to 4
